"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"P7","1","GPO2","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P9","1","BASEBAND","","","","hackrf:GSG-HEADER-2x8",""
"P13","1","GPO1","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P14","1","XCVR_CLKOUT","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P15","1","INTR","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P16","1","CLKIN","","","","hackrf:GSG-SMA-73251-2120",""
"P17","1","GPO6","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P18","1","OEB","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P19","1","GPO3","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P20","1","GPIO","","","","hackrf:GSG-HEADER-2x11",""
"P21","1","REF_IN","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
"P22","1","I2S","","","","hackrf:GSG-HEADER-2x13",""
